"","nobstrees","npredtrees","ext.rt","tp","match.rt","fn","fp","ft","accuracy","omission","commission","xy.rmse","z.rmse","xyz.rmse","precision","recall","f","loss","paramset","quad"
"CC-CVN2_p67",441,26,0.0589569160997732,25,0.0566893424036281,416,1,417,0.0566893424036281,0.943310657596372,0.0384615384615385,2.59367029537431,0.95546690157221,2.76406269847612,0.961538461538462,0.0566893424036281,0.107066381156317,25.8163456037669,"p67","CC-CVN2"
"CC-CVN2_p68",441,38,0.0861678004535147,36,0.0816326530612245,405,2,407,0.0816326530612245,0.918367346938776,0.0526315789473684,2.7337186763761,1.21139505208756,2.99009962606428,0.947368421052632,0.0816326530612245,0.150313152400835,19.8924683456221,"p68","CC-CVN2"
"CC-CVN2_p69",441,26,0.0589569160997732,25,0.0566893424036281,416,1,417,0.0566893424036281,0.943310657596372,0.0384615384615385,2.70849084734925,0.943806569165526,2.86822131471312,0.961538461538462,0.0566893424036281,0.107066381156317,26.7891870794206,"p69","CC-CVN2"
"CC-CVN2_p70",441,30,0.0680272108843537,28,0.0634920634920635,413,2,415,0.0634920634920635,0.936507936507937,0.0666666666666667,2.84203957516505,1.02802025410842,3.02225323056515,0.933333333333333,0.0634920634920635,0.118895966029724,25.4193084213605,"p70","CC-CVN2"
"CC-CVN2_p71",441,25,0.0566893424036281,24,0.054421768707483,417,1,418,0.054421768707483,0.945578231292517,0.04,2.6327508257081,1.05779542760718,2.83730648272853,0.96,0.054421768707483,0.103004291845494,27.5455171031561,"p71","CC-CVN2"
"CC-CVN2_p72",441,35,0.0793650793650794,34,0.0770975056689342,407,1,408,0.0770975056689342,0.922902494331066,0.0285714285714286,2.66223737214263,0.989851652581157,2.84030176561409,0.971428571428571,0.0770975056689342,0.142857142857143,19.8821123592986,"p72","CC-CVN2"
"CC-EMN1_p1",213,869,4.07981220657277,167,0.784037558685446,46,702,748,0.784037558685446,0.215962441314554,0.807825086306099,1.94634146080474,1.00857365638771,2.19213729095758,0.192174913693901,0.784037558685446,0.308687615526802,7.10147469705418,"p1","CC-EMN1"
"CC-EMN1_p2",213,639,3,169,0.793427230046948,44,470,514,0.793427230046948,0.206572769953052,0.735524256651017,1.95027237653231,1.29546299781129,2.34132157581209,0.264475743348983,0.793427230046948,0.396713615023474,5.90179284790503,"p2","CC-EMN1"
"CC-EMN1_p3",213,899,4.22065727699531,167,0.784037558685446,46,732,778,0.784037558685446,0.215962441314554,0.814238042269188,1.9953903913445,1.09741169355429,2.2772560767335,0.185761957730812,0.784037558685446,0.300359712230216,7.58176274648999,"p3","CC-EMN1"
"CC-EMN1_p4",213,641,3.0093896713615,162,0.76056338028169,51,479,530,0.76056338028169,0.23943661971831,0.747269890795632,2.00105922246395,1.32710395966295,2.40113367632065,0.252730109204368,0.76056338028169,0.379391100702576,6.32891407277108,"p4","CC-EMN1"
"CC-EMN1_p5",213,859,4.03286384976526,161,0.755868544600939,52,698,750,0.755868544600939,0.244131455399061,0.812572759022119,1.96970669034033,1.11219569639553,2.26201761996944,0.187427240977881,0.755868544600939,0.300373134328358,7.5306922006436,"p5","CC-EMN1"
"CC-EMN1_p6",213,626,2.93896713615023,164,0.769953051643192,49,462,511,0.769953051643192,0.230046948356808,0.738019169329074,2.03397889904332,1.30548117706022,2.41688875735148,0.261980830670927,0.769953051643192,0.390941597139452,6.18222459578627,"p6","CC-EMN1"
"CC-EMN1_p7",213,238,1.11737089201878,132,0.619718309859155,81,106,187,0.619718309859155,0.380281690140845,0.445378151260504,2.48186150255163,1.55075707805946,2.92651397280098,0.554621848739496,0.619718309859155,0.585365853658537,4.99946137020167,"p7","CC-EMN1"
"CC-EMN1_p8",213,215,1.0093896713615,121,0.568075117370892,92,94,186,0.568075117370892,0.431924882629108,0.437209302325581,2.57465920471924,1.39472776750682,2.92816248966823,0.562790697674419,0.568075117370892,0.565420560747664,5.17873365941323,"p8","CC-EMN1"
"CC-EMN1_p9",213,223,1.04694835680751,125,0.586854460093897,88,98,186,0.586854460093897,0.413145539906103,0.439461883408072,2.56176143439939,1.28807578969562,2.86736131081802,0.560538116591928,0.586854460093897,0.573394495412844,5.00067812606662,"p9","CC-EMN1"
"CC-EMN1_p10",213,215,1.0093896713615,111,0.52112676056338,102,104,206,0.52112676056338,0.47887323943662,0.483720930232558,2.39371973613338,1.47767776479738,2.81308118470317,0.516279069767442,0.52112676056338,0.518691588785047,5.42341777951783,"p10","CC-EMN1"
"CC-EMN1_p11",213,235,1.10328638497653,120,0.563380281690141,93,115,208,0.563380281690141,0.436619718309859,0.48936170212766,2.44332228299329,1.51997352224745,2.87752381170076,0.51063829787234,0.563380281690141,0.535714285714286,5.37137778184142,"p11","CC-EMN1"
"CC-EMN1_p12",213,218,1.02347417840376,118,0.553990610328638,95,100,195,0.553990610328638,0.446009389671362,0.458715596330275,2.47636974045812,1.39382588947454,2.84168219574711,0.541284403669725,0.553990610328638,0.547563805104408,5.18968231511442,"p12","CC-EMN1"
"CC-EMN1_p13",213,111,0.52112676056338,75,0.352112676056338,138,36,174,0.352112676056338,0.647887323943662,0.324324324324324,2.67584974954853,1.47599867208612,3.05593585700992,0.675675675675676,0.352112676056338,0.462962962962963,6.60082145114143,"p13","CC-EMN1"
"CC-EMN1_p14",213,108,0.507042253521127,77,0.36150234741784,136,31,167,0.36150234741784,0.63849765258216,0.287037037037037,2.58908579191833,1.63504877801658,3.06214789721314,0.712962962962963,0.36150234741784,0.479750778816199,6.38278879873649,"p14","CC-EMN1"
"CC-EMN1_p15",213,108,0.507042253521127,74,0.347417840375587,139,34,173,0.347417840375587,0.652582159624413,0.314814814814815,2.71792414324791,1.462661915269,3.08650150280674,0.685185185185185,0.347417840375587,0.461059190031153,6.69437150270922,"p15","CC-EMN1"
"CC-EMN1_p16",213,96,0.450704225352113,72,0.338028169014085,141,24,165,0.338028169014085,0.661971830985915,0.25,2.84946025605178,1.49660254131371,3.21857777869129,0.75,0.338028169014085,0.466019417475728,6.90653148344172,"p16","CC-EMN1"
"CC-EMN1_p17",213,112,0.525821596244131,75,0.352112676056338,138,37,175,0.352112676056338,0.647887323943662,0.330357142857143,2.42814240351211,1.57677210782028,2.89518320866462,0.669642857142857,0.352112676056338,0.461538461538461,6.27289695210668,"p17","CC-EMN1"
