"src","pair_id","treeID","obs","pred","Zobs","Xobs","Yobs","Zpred","Xpred","Ypred","dxy","dz","dxyz","site"
0,NA,5121,NA,NA,4,327962.3945706,4309982.97827157,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,49,6471,NA,136,3.9,327960.980536979,4309997.70108363,3.943,327960.25,4309998.75,1.27824482656777,0.0430000000000001,1.27896787944313,"SG-SWR1"
0,NA,5098,NA,NA,3.9,327954.730686692,4309995.29636524,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,117,5120,NA,250,3.9,327961.719961237,4309983.97973515,1.241,327962.75,4309981.75,2.45615526300133,2.659,3.6198038173317,"SG-SWR1"
0,55,6481,NA,168,3.8,327959.733894306,4309994.57371859,3.392,327958.75,4309993.25,1.64932680831209,0.408,1.69904176541277,"SG-SWR1"
0,94,5072,NA,146,3.8,327964.088443986,4310000.26681461,3.571,327962.25,4309996.75,3.96835750397993,0.229,3.97495940600578,"SG-SWR1"
0,53,5124,NA,214,3.8,327964.019010224,4309986.85217782,3.551,327964.25,4309987.25,0.4600203977352,0.249,0.523086767498903,"SG-SWR1"
0,NA,5140,NA,NA,3.8,327978.121056348,4310000.05349173,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,52,5150,NA,102,3.8,327987.897542722,4310003.55148929,3.711,327987.75,4310003.75,0.24733652790723,0.089,0.262861861130907,"SG-SWR1"
0,NA,5097,NA,NA,3.7,327951.528750389,4309992.85752116,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,98,5203,NA,218,3.6,327977.038115027,4309986.68814964,2.424,327976.25,4309986.25,0.9017208017515,1.176,1.48191646333772,"SG-SWR1"
0,NA,5040,NA,NA,3.6,327972.334479773,4310003.0724552,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,6476,NA,NA,3.5,327979.380354647,4310004.62144047,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5028,NA,NA,3.5,327973.410699451,4310007.3335081,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,110,5081,NA,113,3.5,327960.857866816,4310001.28745066,4.043,327957.75,4310001.75,3.1420993051563,0.543,3.18867324187721,"SG-SWR1"
0,NA,5082,NA,NA,3.5,327956.442646324,4309999.88331917,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5219,NA,NA,3.5,327969.415598806,4309980.7316896,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,87,6460,NA,55,3.3,327977.46487157,4310010.2512524,5.927,327978.75,4310010.75,1.37851523259694,2.627,2.96672095865145,"SG-SWR1"
0,NA,5105,NA,NA,3.3,327949.721690454,4309994.60310277,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5106,NA,NA,3.3,327950.721967761,4309989.46722164,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,61,6479,NA,98,3.2,327979.957206488,4310005.89472686,2.68,327980.75,4310004.75,1.39245148873084,0.52,1.48637853471743,"SG-SWR1"
0,NA,5075,NA,NA,3.2,327963.981495512,4309999.52329376,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,5083,NA,NA,3.2,327956.612736731,4309999.12878645,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,92,6467,NA,105,3.1,327955.29172783,4310002.41819505,4.47,327953.75,4310003.25,1.75180597684667,1.37,2.22389841955871,"SG-SWR1"
0,63,5032,NA,75,3.1,327974.638148129,4310009.09748856,2.526,327975.75,4310007.75,1.74698025011492,0.574,1.83886269043982,"SG-SWR1"
0,42,5134,NA,174,3.1,327976.004340811,4309992.66459584,4.734,327975.75,4309993.25,0.638268972611332,1.634,1.75423581122902,"SG-SWR1"
0,NA,5143,NA,NA,3.1,327978.13322195,4310000.48246609,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,66,4939,NA,266,2.9,327977.307012397,4309980.68442274,2.135,327977.75,4309980.25,0.620452362775347,0.765,0.984980271108772,"SG-SWR1"
0,NA,4953,NA,NA,2.9,327980.934959319,4309996.95082209,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,6465,NA,NA,2.9,327955.504390952,4310002.11134434,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,96,5071,NA,147,2.9,327964.399284027,4309999.41486141,2.648,327965.25,4309996.25,3.27720390053145,0.252,3.28687836794405,"SG-SWR1"
0,58,4964,NA,80,2.8,327985.988107904,4310008.89552019,2.781,327988.25,4310007.75,2.53542350719668,0.0189999999999997,2.53549469745955,"SG-SWR1"
0,NA,4965,NA,NA,2.8,327986.440265356,4310008.46377713,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,6468,NA,NA,2.8,327954.919478193,4310001.311378,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,4954,NA,NA,2.7,327976.859940468,4309996.76620767,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,56,4955,NA,152,2.7,327981.810661631,4309995.96982475,3.231,327984.75,4309996.25,2.95266120970313,0.531,3.00002820308169,"SG-SWR1"
0,NA,4963,NA,NA,2.7,327985.177711493,4310007.32931489,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,6475,NA,NA,2.7,327975.816178133,4310002.74036995,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,48,4923,NA,87,2.6,327953.152225376,4310003.94220552,4.171,327952.25,4310004.75,1.21100889931408,1.571,1.98357847190826,"SG-SWR1"
0,NA,6478,NA,NA,2.6,327980.127072425,4309996.08929834,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,4914,NA,NA,2.5,327949.663522289,4309993.55595786,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,4924,NA,NA,2.5,327951.929990858,4310003.62748594,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,4958,NA,NA,2.5,327980.680540387,4310000.68188914,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,76,4942,NA,254,2.4,327978.769782161,4309984.10225949,0.867,327979.75,4309981.75,2.54832331692709,1.533,2.97389319370993,"SG-SWR1"
0,60,4944,NA,163,2.4,327963.829038024,4309994.89311724,2.723,327963.25,4309994.75,0.596462554299562,0.323,0.678304193324468,"SG-SWR1"
0,NA,4950,NA,NA,2.4,327978.324979381,4309997.18120068,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,67,6461,NA,54,2.4,327979.103004239,4310010.00476663,2.081,327976.25,4310010.75,2.948729552416,0.319,2.96593441823845,"SG-SWR1"
0,NA,6470,NA,NA,2.4,327955.482876504,4310000.94762773,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,4951,NA,NA,2.3,327979.816645682,4309996.13691226,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,NA,4952,NA,NA,2.3,327980.834959324,4309996.95082204,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,115,6469,NA,121,2.3,327955.094196905,4310001.23931971,2.344,327951.75,4310001.25,3.34421395986439,0.044,3.34450340250266,"SG-SWR1"
0,113,6474,NA,141,2.3,327968.528692743,4310000.31051623,2.625,327969.75,4309997.75,2.83687060027167,0.325,2.85542637843908,"SG-SWR1"
0,59,6486,NA,213,2.3,327961.543279955,4309986.77321797,2.751,327961.75,4309987.25,0.519667474582062,0.451,0.688080870347736,"SG-SWR1"
0,NA,4901,NA,NA,2.2,327971.980829421,4310011.03926104,NA,NA,NA,NA,NA,NA,"SG-SWR1"
0,70,4925,NA,182,2.2,327949.976634705,4309992.06670369,1.775,327951.75,4309991.75,1.80142324148591,0.425,1.8508783576901,"SG-SWR1"
0,62,4946,NA,125,2.2,327973.494203581,4309999.36366731,2.643,327974.25,4309999.25,0.764296070963809,0.443,0.88340108902509,"SG-SWR1"
